Aleutians West Census Area,Alaska,"5,465","5,561",96,1.8,
Anchorage Municipality,Alaska,"260,283","291,826","31,543",12.1,
Bethel Census Area,Alaska,"16,006","17,013","1,007",6.3,
Bristol Bay Borough,Alaska,"1,258",997,-261,-20.7,
Denali Borough,Alaska,"1,893","1,826",-67,-3.5,
Dillingham Census Area,Alaska,"4,922","4,847",-75,-1.5,
Fairbanks North Star Borough,Alaska,"82,840","97,581","14,741",17.8,
Haines Borough,Alaska,"2,392","2,508",116,4.8,
Hoonah-Angoon Census Area,Alaska,(X),"2,150",(X),(X),
Juneau City and Borough,Alaska,"30,711","31,275",564,1.8,
Kenai Peninsula Borough,Alaska,"49,691","55,400","5,709",11.5,
Ketchikan Gateway Borough,Alaska,"14,070","13,477",-593,-4.2,
Kodiak Island Borough,Alaska,"13,913","13,592",-321,-2.3,
Lake and Peninsula Borough,Alaska,"1,823","1,631",-192,-10.5,
Matanuska-Susitna Borough,Alaska,"59,322","88,995","29,673",50,
Nome Census Area,Alaska,"9,196","9,492",296,3.2,
North Slope Borough,Alaska,"7,385","9,430","2,045",27.7,
Northwest Arctic Borough,Alaska,"7,208","7,523",315,4.4,
Petersburg Census Area,Alaska,(X),"3,815",(X),(X),
Prince of Wales-Hyder Census Area,Alaska,(X),"5,559",(X),(X),
Sitka City and Borough,Alaska,"8,835","8,881",46,0.5,
Skagway Municipality,Alaska,(X),968,(X),(X),
Southeast Fairbanks Census Area,Alaska,"6,174","7,029",855,13.8,
Valdez-Cordova Census Area,Alaska,"10,195","9,636",-559,-5.5,
Wade Hampton Census Area,Alaska,"7,028","7,459",431,6.1,
Wrangell City and Borough,Alaska,(X),"2,369",(X),(X),
Yakutat City and Borough,Alaska,808,662,-146,-18.1,
Yukon-Koyukuk Census Area,Alaska,"6,551","5,588",-963,-14.7,
Apache County,Arizona,"69,423","71,518","2,095",3,
Cochise County,Arizona,"117,755","131,346","13,591",11.5,
Coconino County,Arizona,"116,320","134,421","18,101",15.6,
Gila County,Arizona,"51,335","53,597","2,262",4.4,
Graham County,Arizona,"33,489","37,220","3,731",11.1,
Greenlee County,Arizona,"8,547","8,437",-110,-1.3,
La Paz County,Arizona,"19,715","20,489",774,3.9,
Maricopa County,Arizona,"3,072,149","3,817,117","744,968",24.2,
Mohave County,Arizona,"155,032","200,186","45,154",29.1,
Navajo County,Arizona,"97,470","107,449","9,979",10.2,
Pima County,Arizona,"843,746","980,263","136,517",16.2,
Pinal County,Arizona,"179,727","375,770","196,043",109.1,
Santa Cruz County,Arizona,"38,381","47,420","9,039",23.6,
Yavapai County,Arizona,"167,517","211,033","43,516",26,
Yuma County,Arizona,"160,026","195,751","35,725",22.3,
Arkansas County,Arkansas,"20,749","19,019","-1,730",-8.3,
Ashley County,Arkansas,"24,209","21,853","-2,356",-9.7,
Baxter County,Arkansas,"38,386","41,513","3,127",8.1,
Benton County,Arkansas,"153,406","221,339","67,933",44.3,
Boone County,Arkansas,"33,948","36,903","2,955",8.7,
Bradley County,Arkansas,"12,600","11,508","-1,092",-8.7,
Calhoun County,Arkansas,"5,744","5,368",-376,-6.5,
Carroll County,Arkansas,"25,357","27,446","2,089",8.2,
Chicot County,Arkansas,"14,117","11,800","-2,317",-16.4,
Clark County,Arkansas,"23,546","22,995",-551,-2.3,
Clay County,Arkansas,"17,609","16,083","-1,526",-8.7,
Cleburne County,Arkansas,"24,046","25,970","1,924",8,
Cleveland County,Arkansas,"8,571","8,689",118,1.4,
Columbia County,Arkansas,"25,603","24,552","-1,051",-4.1,
Conway County,Arkansas,"20,336","21,273",937,4.6,
Craighead County,Arkansas,"82,148","96,443","14,295",17.4,
Crawford County,Arkansas,"53,247","61,948","8,701",16.3,
Crittenden County,Arkansas,"50,866","50,902",36,0.1,
Cross County,Arkansas,"19,526","17,870","-1,656",-8.5,
Dallas County,Arkansas,"9,210","8,116","-1,094",-11.9,
Desha County,Arkansas,"15,341","13,008","-2,333",-15.2,
Drew County,Arkansas,"18,723","18,509",-214,-1.1,
Faulkner County,Arkansas,"86,014","113,237","27,223",31.6,
Franklin County,Arkansas,"17,771","18,125",354,2,
Fulton County,Arkansas,"11,642","12,245",603,5.2,
Garland County,Arkansas,"88,068","96,024","7,956",9,
Grant County,Arkansas,"16,464","17,853","1,389",8.4,
Greene County,Arkansas,"37,331","42,090","4,759",12.7,
Hempstead County,Arkansas,"23,587","22,609",-978,-4.1,
